,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,21.0,1872.0,3592.0,5457.0,6867.0,8640.0,10064.0,11122.0,12341.0,13768.0,15165.0,16672.0,22116.0,18029.0,20598.0,19277.0,28143.0,39951.0,27044.0,23256.0,29303.0,24417.0,38213.0,39951.0,35925.0,34754.0,37091.0,44200.0,41918.0,43473.0,32320.0,33577.0,30516.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0
SAM_control,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0
SAM_control,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0
thumbs_up_down,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0
TLX_mental,14.0,16.0,11.0,0.0,2.0,14.0,13.0,16.0,16.0,19.0,5.0,3.0,14.0,0.0,2.0,0.0,10.0,5.0,16.0,16.0,14.0,14.0,13.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,17.0
TLX_physical,2.0,11.0,13.0,2.0,4.0,14.0,13.0,15.0,18.0,19.0,7.0,2.0,6.0,11.0,1.0,0.0,11.0,6.0,15.0,14.0,12.0,14.0,14.0,12.0,15.0,5.0,11.0,11.0,11.0,11.0,12.0,15.0,17.0
TLX_temporal,0.0,12.0,13.0,8.0,14.0,8.0,14.0,17.0,15.0,5.0,17.0,18.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,17.0,19.0,18.0,14.0,13.0,17.0,8.0,8.0,8.0,8.0,15.0,12.0,8.0,14.0
TLX_performance,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_effort,0.0,6.0,3.0,1.0,3.0,11.0,15.0,16.0,18.0,19.0,10.0,1.0,3.0,4.0,0.0,0.0,11.0,5.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,5.0,11.0,5.0,11.0,11.0,15.0,18.0,16.0
TLX_frustration,1.0,0.0,5.0,0.0,12.0,13.0,12.0,15.0,18.0,19.0,6.0,1.0,0.0,17.0,0.0,0.0,8.0,1.0,6.0,11.0,5.0,7.0,11.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,4.0,11.0,11.0
TLX_enjoyment,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,4.0,9.0,9.0,2.0,7.0,12.0,13.0,16.0,17.0,16.0,9.0,5.0,8.0,10.0,4.0,4.0,12.0,7.0,15.0,15.0,13.0,14.0,14.0,13.0,14.0,6.0,8.0,7.0,8.0,9.0,10.0,14.0,15.0
